*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Feb  6 2025 20:33:19
*************************************************
parsing config file: /home/wzz/Pythia/config/mlop.ini

trace_0 /home/wzz/Pythia/traces/654.roms_s-293B.champsimtrace.xz
adding L2C_PREFETCHER: MLOP
Initialize SHIP state
warmup_instructions 40000000
simulation_instructions 100000000
champsim_seed 224
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

mlop_pref_degree 16
mlop_num_updates 500
mlop_l1d_thresh 2
mlop_l2c_thresh 0.75
mlop_llc_thresh 0.3
mlop_debug_level 0
mlop_blocks_in_cache 4096
mlop_blocks_in_zone 64
mlop_amt_size 2048
mlop_PF_DEGREE 16
mlop_NUM_UPDATES 500
mlop_L1D_THRESH 1000
mlop_L2C_THRESH 375
mlop_LLC_THRESH 150
mlop_ORIGIN 63
mlop_MAX_OFFSET 63
mlop_MIN_OFFSET -63
mlop_ORIGIN 63
mlop_NUM_OFFSETS 127


Heartbeat CPU  0 instructions:    1000003 cycles:     442805 heartbeat IPC: 2.25834 cumulative IPC: 2.25834 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:     884833 heartbeat IPC: 2.26230 cumulative IPC: 2.26032 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1328216 heartbeat IPC: 2.25539 cumulative IPC: 2.25867 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1808670 heartbeat IPC: 2.08136 cumulative IPC: 2.21157 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:    5000001 cycles:    2323417 heartbeat IPC: 1.94270 cumulative IPC: 2.15200 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    2766590 heartbeat IPC: 2.25645 cumulative IPC: 2.16873 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    3208600 heartbeat IPC: 2.26239 cumulative IPC: 2.18164 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3652051 heartbeat IPC: 2.25504 cumulative IPC: 2.19055 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    4095819 heartbeat IPC: 2.25343 cumulative IPC: 2.19736 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   10000002 cycles:    4538305 heartbeat IPC: 2.25996 cumulative IPC: 2.20347 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   11000001 cycles:    5030374 heartbeat IPC: 2.03223 cumulative IPC: 2.18672 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5531444 heartbeat IPC: 1.99573 cumulative IPC: 2.16942 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:    5974767 heartbeat IPC: 2.25569 cumulative IPC: 2.17582 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    6418646 heartbeat IPC: 2.25287 cumulative IPC: 2.18115 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    6861292 heartbeat IPC: 2.25914 cumulative IPC: 2.18618 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    7303975 heartbeat IPC: 2.25895 cumulative IPC: 2.19059 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:    7747037 heartbeat IPC: 2.25703 cumulative IPC: 2.19439 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:    8252229 heartbeat IPC: 1.97945 cumulative IPC: 2.18123 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   19000002 cycles:    8741864 heartbeat IPC: 2.04234 cumulative IPC: 2.17345 (Simulation time: 0 hr 1 min 22 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    9184736 heartbeat IPC: 2.25798 cumulative IPC: 2.17753 (Simulation time: 0 hr 1 min 27 sec) 
